Partition,Algorithm,BlendWeight,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,RMSE.ByUser,RMSE.ByRating,Predict.nDCG,TopN.nDCG,MAP,MRR
5,lucene,,0.734,25.88,172,860,832,0.9674418604651163,0.7205689024915999,0.7924743184150347,0.9558603454078426,0.02654167619434796,0.04300256149030163,0.043455760970295854
5,lucene-svd-blend,0.9,12.502,29.631,172,860,860,1.0,0.7157628256365557,0.792476871223375,0.97353878650092,0.027162548118668636,0.043398286770401306,0.045619254852459025
5,lucene-svd-blend,1.0,41.795,29.634,172,860,860,1.0,0.7235002180139951,0.8017336775089118,0.9728613207401793,0.026535302923469842,0.04298997717539173,0.043443176655385954
1,ii,,23.259,71.409,173,865,865,1.0,0.6600969890235535,0.7353422742158678,0.9718185724666654,0.03099358112490601,0.0558533482997056,0.056163009736534666
5,lucene-svd-blend,0.8,0.135,27.631,172,860,860,1.0,0.7094687980331832,0.7850154141293331,0.9737523341541636,0.028104426286599163,0.0429243571908611,0.04754116480185475
1,svd,,24.708000000000002,0.652,173,865,865,1.0,0.6629067448704008,0.7369938400307605,0.9719763411290979,0.05603091546416335,0.10332770886252318,0.1055345716548941
5,ii-svd-blend,1.0,63.948,71.312,172,860,860,1.0,0.7034663676469421,0.7796884258675911,0.9736029026348798,0.03660796740429246,0.06274730606481256,0.06947217604207652
5,ii-svd-blend,0.9,0.267,71.197,172,860,860,1.0,0.7016812844226211,0.7776578958634756,0.9736690136810574,0.03624797040642587,0.06586137206007246,0.07151879603144992
5,lucene-svd-blend,0.7,0.043000000000000003,26.418,172,860,860,1.0,0.7046861751785398,0.7794008703112535,0.9737661598288317,0.031525955090576256,0.048936910778744076,0.052812879770992145
5,ii-svd-blend,0.8,0.199,70.75,172,860,860,1.0,0.7005609666865711,0.7763855497086432,0.9741773053114713,0.03696635796050177,0.06569038596042878,0.07092179053776358
5,lucene-svd-blend,0.6,0.039,30.954,172,860,860,1.0,0.7014459823497217,0.7756733462533458,0.9739835243935828,0.03481967157532737,0.05449784557697999,0.05796721782200202
5,ii-svd-blend,0.7,0.095,83.402,172,860,860,1.0,0.7001154557179817,0.7758751174155746,0.9746771817933602,0.039715407277346355,0.06466725015342038,0.07200239724147445
