Partition,Algorithm,BlendWeight,User,TestTime,NAttempted,NGood,Coverage,RMSE,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,lucene,,359,5.255,5,5,1.0,0.5222440976967382,0.9691068614378588,13.631213565291738,0.0,0.0,,0.0
5,lucene,,1447,2.618,5,4,0.8,0.6004107043044351,0.8787750282991799,9.142789260714373,0.0,0.0,,0.0
5,lucene,,2702,0.17500000000000002,5,5,1.0,0.494715056754281,0.9873308865091233,14.381213565291738,0.0,0.0,,0.0
5,lucene,,4215,0.131,5,4,0.8,0.6156141602164862,0.9672213387792289,12.7082541375001,0.0,0.0,,0.0
5,lucene,,5475,0.151,5,5,1.0,0.5011979167261893,0.9875154565006291,14.596551844328435,0.0,0.0,,0.0
5,lucene,,6116,0.114,5,5,1.0,0.6821565580864012,0.9798037790665874,12.315748688506009,0.0,0.0,,0.0
5,lucene,,6988,0.168,5,5,1.0,0.5153374427492889,0.9919702672058219,12.369354058148824,0.0,0.0,,0.0
5,lucene,,9745,0.09,5,5,1.0,0.5647081374402031,1.0,15.700537007218344,0.0,0.0,,0.0
5,lucene,,11406,0.113,5,5,1.0,0.5676967847089279,0.9692955844584774,14.81189012336513,0.32720185485627346,1.0,1,1.0
5,lucene,,11513,0.17,5,5,1.0,0.49421948653574355,1.0,14.315748688506009,0.0,0.0,,0.0
5,lucene,,12721,0.068,5,4,0.8,1.4558899332388944,0.8917021078057681,9.565464876785729,0.0,0.0,,0.0
5,lucene,,12947,0.145,5,4,0.8,0.5053569639517971,0.8610137836558861,11.839183891071558,0.0,0.0,,0.0
5,lucene,,13340,0.07200000000000001,5,4,0.8,0.6072172288882135,0.848410808705015,13.839183891071558,0.0,0.0,,0.0
5,lucene,,13565,0.23800000000000002,5,5,1.0,0.428054056149375,0.9904172666740106,13.930960369793672,0.0728376527851293,0.047619047619047616,21,0.047619047619047616
5,lucene,,13814,0.082,5,5,1.0,0.5129676603032426,0.9978078698566161,15.777228402401827,0.0,0.0,,0.0
5,lucene,,16337,0.08700000000000001,5,5,1.0,1.0351710584119371,0.9911692903376826,15.56189012336513,0.0,0.0,,0.0
5,lucene,,17022,0.135,5,5,1.0,0.541512257084997,0.9907462141771882,14.430960369793672,0.0,0.0,,0.0
5,lucene,,17039,0.099,5,5,1.0,0.570737381733919,1.0,16.56189012336513,0.06873317205980042,0.047619047619047616,21,0.047619047619047616
5,lucene,,17318,0.121,5,5,1.0,0.7530142887034001,0.9627988536472591,12.550030616222216,0.0,0.0,,0.0
5,lucene,,18675,0.152,5,5,1.0,0.5441010823949296,0.9720079397184095,12.815748688506009,0.0,0.0,,0.0
5,lucene,,19517,0.054,5,5,1.0,0.38632055185564085,0.9959242108940529,15.9964252465794,0.0,0.0,,0.0
